text,sentiment
"This is brilliant, exceeded my expectations.",positive
"Meh, it works but nothing special.",neutral
The worst purchase I've ever made.,negative
"Completely useless, waste of money.",negative
The worst purchase I've ever made.,negative
"This is brilliant, exceeded my expectations.",positive
"It's okay, not great but not bad.",neutral
I'm not sure how I feel about this.,neutral
"Fantastic experience, highly recommend!",positive
"This is brilliant, exceeded my expectations.",positive
"Fantastic experience, highly recommend!",positive
I'm not sure how I feel about this.,neutral
The worst purchase I've ever made.,negative
I'm not sure how I feel about this.,neutral
I'm not sure how I feel about this.,neutral
"Meh, it works but nothing special.",neutral
The worst purchase I've ever made.,negative
The worst purchase I've ever made.,negative
I love this product! It's amazing.,positive
"Fantastic experience, highly recommend!",positive
"It's okay, not great but not bad.",neutral
"Meh, it works but nothing special.",neutral
It stopped working after two days.,negative
"Meh, it works but nothing special.",neutral
I'm not sure how I feel about this.,neutral
"Just average, nothing more.",neutral
"Just average, nothing more.",neutral
"Completely useless, waste of money.",negative
"Absolutely terrible, I want a refund.",negative
I love this product! It's amazing.,positive
"Meh, it works but nothing special.",neutral
I'm so happy with this service!,positive
"It's okay, not great but not bad.",neutral
The worst purchase I've ever made.,negative
"Meh, it works but nothing special.",neutral
"Just average, nothing more.",neutral
I'm not sure how I feel about this.,neutral
It stopped working after two days.,negative
"Just average, nothing more.",neutral
The worst purchase I've ever made.,negative
"Meh, it works but nothing special.",neutral
"Absolutely terrible, I want a refund.",negative
"Fantastic experience, highly recommend!",positive
I love this product! It's amazing.,positive
"Completely useless, waste of money.",negative
"It's okay, not great but not bad.",neutral
"This is brilliant, exceeded my expectations.",positive
I'm not sure how I feel about this.,neutral
"Meh, it works but nothing special.",neutral
I love this product! It's amazing.,positive
"This is brilliant, exceeded my expectations.",positive
The worst purchase I've ever made.,negative
I love this product! It's amazing.,positive
The worst purchase I've ever made.,negative
The worst purchase I've ever made.,negative
I'm not sure how I feel about this.,neutral
The worst purchase I've ever made.,negative
"Meh, it works but nothing special.",neutral
"This is brilliant, exceeded my expectations.",positive
"It's okay, not great but not bad.",neutral
"Just average, nothing more.",neutral
"Fantastic experience, highly recommend!",positive
It stopped working after two days.,negative
"Absolutely terrible, I want a refund.",negative
"Absolutely terrible, I want a refund.",negative
I'm so happy with this service!,positive
"Fantastic experience, highly recommend!",positive
"Completely useless, waste of money.",negative
I'm so happy with this service!,positive
"It's okay, not great but not bad.",neutral
"Meh, it works but nothing special.",neutral
I'm so happy with this service!,positive
"Just average, nothing more.",neutral
"Fantastic experience, highly recommend!",positive
"Absolutely terrible, I want a refund.",negative
The worst purchase I've ever made.,negative
It stopped working after two days.,negative
I love this product! It's amazing.,positive
I'm so happy with this service!,positive
I'm so happy with this service!,positive
"Meh, it works but nothing special.",neutral
I'm so happy with this service!,positive
"Meh, it works but nothing special.",neutral
"This is brilliant, exceeded my expectations.",positive
"This is brilliant, exceeded my expectations.",positive
"Meh, it works but nothing special.",neutral
"Completely useless, waste of money.",negative
"Just average, nothing more.",neutral
I love this product! It's amazing.,positive
The worst purchase I've ever made.,negative
It stopped working after two days.,negative
"Fantastic experience, highly recommend!",positive
"Completely useless, waste of money.",negative
It stopped working after two days.,negative
"Meh, it works but nothing special.",neutral
"It's okay, not great but not bad.",neutral
The worst purchase I've ever made.,negative
I love this product! It's amazing.,positive
It stopped working after two days.,negative
"Completely useless, waste of money.",negative
"Just average, nothing more.",neutral
I'm not sure how I feel about this.,neutral
I'm not sure how I feel about this.,neutral
"Fantastic experience, highly recommend!",positive
"Completely useless, waste of money.",negative
"Completely useless, waste of money.",negative
"This is brilliant, exceeded my expectations.",positive
"Fantastic experience, highly recommend!",positive
"It's okay, not great but not bad.",neutral
I'm not sure how I feel about this.,neutral
It stopped working after two days.,negative
I'm so happy with this service!,positive
I'm so happy with this service!,positive
I love this product! It's amazing.,positive
I love this product! It's amazing.,positive
"Just average, nothing more.",neutral
I'm not sure how I feel about this.,neutral
It stopped working after two days.,negative
"Fantastic experience, highly recommend!",positive
It stopped working after two days.,negative
I'm so happy with this service!,positive
I love this product! It's amazing.,positive
The worst purchase I've ever made.,negative
The worst purchase I've ever made.,negative
"It's okay, not great but not bad.",neutral
"Fantastic experience, highly recommend!",positive
"Completely useless, waste of money.",negative
"Meh, it works but nothing special.",neutral
"This is brilliant, exceeded my expectations.",positive
"Completely useless, waste of money.",negative
"Absolutely terrible, I want a refund.",negative
The worst purchase I've ever made.,negative
"It's okay, not great but not bad.",neutral
"Fantastic experience, highly recommend!",positive
"It's okay, not great but not bad.",neutral
"Meh, it works but nothing special.",neutral
I love this product! It's amazing.,positive
I love this product! It's amazing.,positive
"Fantastic experience, highly recommend!",positive
The worst purchase I've ever made.,negative
I'm so happy with this service!,positive
I'm not sure how I feel about this.,neutral
"Fantastic experience, highly recommend!",positive
I'm so happy with this service!,positive
It stopped working after two days.,negative
"It's okay, not great but not bad.",neutral
I love this product! It's amazing.,positive
The worst purchase I've ever made.,negative
The worst purchase I've ever made.,negative
I'm not sure how I feel about this.,neutral
I love this product! It's amazing.,positive
"Fantastic experience, highly recommend!",positive
"Just average, nothing more.",neutral
"Meh, it works but nothing special.",neutral
"It's okay, not great but not bad.",neutral
The worst purchase I've ever made.,negative
"Absolutely terrible, I want a refund.",negative
"Absolutely terrible, I want a refund.",negative
I love this product! It's amazing.,positive
"Meh, it works but nothing special.",neutral
"Absolutely terrible, I want a refund.",negative
The worst purchase I've ever made.,negative
I'm so happy with this service!,positive
"Completely useless, waste of money.",negative
"Fantastic experience, highly recommend!",positive
"Absolutely terrible, I want a refund.",negative
"Absolutely terrible, I want a refund.",negative
It stopped working after two days.,negative
I love this product! It's amazing.,positive
"Fantastic experience, highly recommend!",positive
I'm not sure how I feel about this.,neutral
"Completely useless, waste of money.",negative
"Fantastic experience, highly recommend!",positive
"Meh, it works but nothing special.",neutral
"This is brilliant, exceeded my expectations.",positive
"Meh, it works but nothing special.",neutral
"Meh, it works but nothing special.",neutral
It stopped working after two days.,negative
I'm so happy with this service!,positive
It stopped working after two days.,negative
"It's okay, not great but not bad.",neutral
I love this product! It's amazing.,positive
I'm so happy with this service!,positive
"Just average, nothing more.",neutral
"Just average, nothing more.",neutral
I love this product! It's amazing.,positive
"Meh, it works but nothing special.",neutral
It stopped working after two days.,negative
It stopped working after two days.,negative
I'm not sure how I feel about this.,neutral
The worst purchase I've ever made.,negative
"Meh, it works but nothing special.",neutral
I'm so happy with this service!,positive
"Completely useless, waste of money.",negative
"Fantastic experience, highly recommend!",positive
"This is brilliant, exceeded my expectations.",positive
I'm so happy with this service!,positive
I'm not sure how I feel about this.,neutral
"Completely useless, waste of money.",negative
"Meh, it works but nothing special.",neutral
"Absolutely terrible, I want a refund.",negative
"Meh, it works but nothing special.",neutral
The worst purchase I've ever made.,negative
"Fantastic experience, highly recommend!",positive
It stopped working after two days.,negative
The worst purchase I've ever made.,negative
I'm so happy with this service!,positive
I love this product! It's amazing.,positive
"Completely useless, waste of money.",negative
I'm not sure how I feel about this.,neutral
The worst purchase I've ever made.,negative
"Just average, nothing more.",neutral
"Fantastic experience, highly recommend!",positive
"Fantastic experience, highly recommend!",positive
It stopped working after two days.,negative
I'm so happy with this service!,positive
"Absolutely terrible, I want a refund.",negative
"Completely useless, waste of money.",negative
I'm so happy with this service!,positive
It stopped working after two days.,negative
"Meh, it works but nothing special.",neutral
The worst purchase I've ever made.,negative
"It's okay, not great but not bad.",neutral
I'm so happy with this service!,positive
It stopped working after two days.,negative
"This is brilliant, exceeded my expectations.",positive
"Meh, it works but nothing special.",neutral
I love this product! It's amazing.,positive
I love this product! It's amazing.,positive
The worst purchase I've ever made.,negative
I'm so happy with this service!,positive
"Just average, nothing more.",neutral
"Just average, nothing more.",neutral
I'm not sure how I feel about this.,neutral
The worst purchase I've ever made.,negative
I'm so happy with this service!,positive
"This is brilliant, exceeded my expectations.",positive
"It's okay, not great but not bad.",neutral
I'm not sure how I feel about this.,neutral
"Meh, it works but nothing special.",neutral
"It's okay, not great but not bad.",neutral
"Just average, nothing more.",neutral
"Fantastic experience, highly recommend!",positive
I'm so happy with this service!,positive
"It's okay, not great but not bad.",neutral
It stopped working after two days.,negative
"Fantastic experience, highly recommend!",positive
"Completely useless, waste of money.",negative
"Just average, nothing more.",neutral
"Just average, nothing more.",neutral
"Just average, nothing more.",neutral
"Absolutely terrible, I want a refund.",negative
I'm so happy with this service!,positive
"Meh, it works but nothing special.",neutral
I'm not sure how I feel about this.,neutral
"This is brilliant, exceeded my expectations.",positive
"Absolutely terrible, I want a refund.",negative
"Absolutely terrible, I want a refund.",negative
"Just average, nothing more.",neutral
"This is brilliant, exceeded my expectations.",positive
The worst purchase I've ever made.,negative
It stopped working after two days.,negative
The worst purchase I've ever made.,negative
"It's okay, not great but not bad.",neutral
It stopped working after two days.,negative
"It's okay, not great but not bad.",neutral
I'm not sure how I feel about this.,neutral
The worst purchase I've ever made.,negative
"Completely useless, waste of money.",negative
It stopped working after two days.,negative
"Just average, nothing more.",neutral
"Meh, it works but nothing special.",neutral
I'm not sure how I feel about this.,neutral
It stopped working after two days.,negative
I'm not sure how I feel about this.,neutral
I'm so happy with this service!,positive
"Absolutely terrible, I want a refund.",negative
"Fantastic experience, highly recommend!",positive
I'm so happy with this service!,positive
"This is brilliant, exceeded my expectations.",positive
"This is brilliant, exceeded my expectations.",positive
"Meh, it works but nothing special.",neutral
"Just average, nothing more.",neutral
"Absolutely terrible, I want a refund.",negative
"Fantastic experience, highly recommend!",positive
"This is brilliant, exceeded my expectations.",positive
"Meh, it works but nothing special.",neutral
"Meh, it works but nothing special.",neutral
I'm not sure how I feel about this.,neutral
"Absolutely terrible, I want a refund.",negative
"This is brilliant, exceeded my expectations.",positive
I'm not sure how I feel about this.,neutral
"It's okay, not great but not bad.",neutral
I'm not sure how I feel about this.,neutral
I'm not sure how I feel about this.,neutral
"Just average, nothing more.",neutral
"Meh, it works but nothing special.",neutral
"This is brilliant, exceeded my expectations.",positive
The worst purchase I've ever made.,negative
"Meh, it works but nothing special.",neutral
"It's okay, not great but not bad.",neutral
"Fantastic experience, highly recommend!",positive
"Fantastic experience, highly recommend!",positive
"Meh, it works but nothing special.",neutral
I love this product! It's amazing.,positive
"It's okay, not great but not bad.",neutral
"It's okay, not great but not bad.",neutral
"Fantastic experience, highly recommend!",positive
I'm not sure how I feel about this.,neutral
"Just average, nothing more.",neutral
I'm not sure how I feel about this.,neutral
I love this product! It's amazing.,positive
"It's okay, not great but not bad.",neutral
I love this product! It's amazing.,positive
The worst purchase I've ever made.,negative
The worst purchase I've ever made.,negative
"Completely useless, waste of money.",negative
"Just average, nothing more.",neutral
"Fantastic experience, highly recommend!",positive
The worst purchase I've ever made.,negative
I'm not sure how I feel about this.,neutral
I'm so happy with this service!,positive
"Absolutely terrible, I want a refund.",negative
"It's okay, not great but not bad.",neutral
"It's okay, not great but not bad.",neutral
"Fantastic experience, highly recommend!",positive
"Absolutely terrible, I want a refund.",negative
"This is brilliant, exceeded my expectations.",positive
It stopped working after two days.,negative
I'm so happy with this service!,positive
"It's okay, not great but not bad.",neutral
"Absolutely terrible, I want a refund.",negative
The worst purchase I've ever made.,negative
I love this product! It's amazing.,positive
"Just average, nothing more.",neutral
"It's okay, not great but not bad.",neutral
"Just average, nothing more.",neutral
"This is brilliant, exceeded my expectations.",positive
I'm not sure how I feel about this.,neutral
I'm not sure how I feel about this.,neutral
I love this product! It's amazing.,positive
"This is brilliant, exceeded my expectations.",positive
"Fantastic experience, highly recommend!",positive
"Completely useless, waste of money.",negative
"Meh, it works but nothing special.",neutral
It stopped working after two days.,negative
"Absolutely terrible, I want a refund.",negative
"Just average, nothing more.",neutral
"It's okay, not great but not bad.",neutral
The worst purchase I've ever made.,negative
"Meh, it works but nothing special.",neutral
The worst purchase I've ever made.,negative
It stopped working after two days.,negative
"This is brilliant, exceeded my expectations.",positive
I love this product! It's amazing.,positive
I love this product! It's amazing.,positive
"Completely useless, waste of money.",negative
I love this product! It's amazing.,positive
"Fantastic experience, highly recommend!",positive
The worst purchase I've ever made.,negative
I love this product! It's amazing.,positive
It stopped working after two days.,negative
The worst purchase I've ever made.,negative
I'm not sure how I feel about this.,neutral
I'm not sure how I feel about this.,neutral
I'm so happy with this service!,positive
"Absolutely terrible, I want a refund.",negative
I'm not sure how I feel about this.,neutral
"Completely useless, waste of money.",negative
I'm not sure how I feel about this.,neutral
It stopped working after two days.,negative
The worst purchase I've ever made.,negative
I'm so happy with this service!,positive
"This is brilliant, exceeded my expectations.",positive
"Fantastic experience, highly recommend!",positive
"Fantastic experience, highly recommend!",positive
I love this product! It's amazing.,positive
It stopped working after two days.,negative
I love this product! It's amazing.,positive
"Fantastic experience, highly recommend!",positive
"This is brilliant, exceeded my expectations.",positive
"Absolutely terrible, I want a refund.",negative
"Fantastic experience, highly recommend!",positive
It stopped working after two days.,negative
"Completely useless, waste of money.",negative
The worst purchase I've ever made.,negative
The worst purchase I've ever made.,negative
"Absolutely terrible, I want a refund.",negative
"Completely useless, waste of money.",negative
It stopped working after two days.,negative
"Just average, nothing more.",neutral
I'm so happy with this service!,positive
"Just average, nothing more.",neutral
"This is brilliant, exceeded my expectations.",positive
"This is brilliant, exceeded my expectations.",positive
"Just average, nothing more.",neutral
The worst purchase I've ever made.,negative
The worst purchase I've ever made.,negative
I'm so happy with this service!,positive
I love this product! It's amazing.,positive
The worst purchase I've ever made.,negative
"Meh, it works but nothing special.",neutral
"This is brilliant, exceeded my expectations.",positive
"Fantastic experience, highly recommend!",positive
I'm not sure how I feel about this.,neutral
"Completely useless, waste of money.",negative
I'm not sure how I feel about this.,neutral
"Fantastic experience, highly recommend!",positive
I love this product! It's amazing.,positive
"Absolutely terrible, I want a refund.",negative
I'm so happy with this service!,positive
"This is brilliant, exceeded my expectations.",positive
"Absolutely terrible, I want a refund.",negative
I love this product! It's amazing.,positive
I'm not sure how I feel about this.,neutral
"Just average, nothing more.",neutral
I love this product! It's amazing.,positive
The worst purchase I've ever made.,negative
It stopped working after two days.,negative
"Meh, it works but nothing special.",neutral
I'm not sure how I feel about this.,neutral
"Absolutely terrible, I want a refund.",negative
"Absolutely terrible, I want a refund.",negative
"Meh, it works but nothing special.",neutral
"Fantastic experience, highly recommend!",positive
"It's okay, not great but not bad.",neutral
"It's okay, not great but not bad.",neutral
"Fantastic experience, highly recommend!",positive
I love this product! It's amazing.,positive
The worst purchase I've ever made.,negative
It stopped working after two days.,negative
The worst purchase I've ever made.,negative
"Meh, it works but nothing special.",neutral
"Meh, it works but nothing special.",neutral
"Completely useless, waste of money.",negative
"Just average, nothing more.",neutral
"Just average, nothing more.",neutral
I'm not sure how I feel about this.,neutral
"It's okay, not great but not bad.",neutral
I'm so happy with this service!,positive
I love this product! It's amazing.,positive
The worst purchase I've ever made.,negative
"Just average, nothing more.",neutral
"Absolutely terrible, I want a refund.",negative
The worst purchase I've ever made.,negative
"Absolutely terrible, I want a refund.",negative
"Meh, it works but nothing special.",neutral
"Just average, nothing more.",neutral
"Meh, it works but nothing special.",neutral
I love this product! It's amazing.,positive
I'm not sure how I feel about this.,neutral
"Completely useless, waste of money.",negative
"Meh, it works but nothing special.",neutral
I'm not sure how I feel about this.,neutral
"Just average, nothing more.",neutral
"Just average, nothing more.",neutral
I'm not sure how I feel about this.,neutral
I'm not sure how I feel about this.,neutral
It stopped working after two days.,negative
"Just average, nothing more.",neutral
I'm so happy with this service!,positive
It stopped working after two days.,negative
I'm not sure how I feel about this.,neutral
"Completely useless, waste of money.",negative
"It's okay, not great but not bad.",neutral
"Absolutely terrible, I want a refund.",negative
"Just average, nothing more.",neutral
"Absolutely terrible, I want a refund.",negative
It stopped working after two days.,negative
It stopped working after two days.,negative
"Absolutely terrible, I want a refund.",negative
"This is brilliant, exceeded my expectations.",positive
I love this product! It's amazing.,positive
"Fantastic experience, highly recommend!",positive
It stopped working after two days.,negative
"Absolutely terrible, I want a refund.",negative
It stopped working after two days.,negative
The worst purchase I've ever made.,negative
"Completely useless, waste of money.",negative
"Fantastic experience, highly recommend!",positive
"Just average, nothing more.",neutral
"This is brilliant, exceeded my expectations.",positive
"Just average, nothing more.",neutral
I love this product! It's amazing.,positive
It stopped working after two days.,negative
"Meh, it works but nothing special.",neutral
"Fantastic experience, highly recommend!",positive
I'm so happy with this service!,positive
"It's okay, not great but not bad.",neutral
"Completely useless, waste of money.",negative
"Just average, nothing more.",neutral
I love this product! It's amazing.,positive
"Just average, nothing more.",neutral
The worst purchase I've ever made.,negative
"Meh, it works but nothing special.",neutral
I love this product! It's amazing.,positive
"It's okay, not great but not bad.",neutral
The worst purchase I've ever made.,negative
"It's okay, not great but not bad.",neutral
I love this product! It's amazing.,positive
"This is brilliant, exceeded my expectations.",positive
"Fantastic experience, highly recommend!",positive
"This is brilliant, exceeded my expectations.",positive
"This is brilliant, exceeded my expectations.",positive
"Meh, it works but nothing special.",neutral
The worst purchase I've ever made.,negative
"Fantastic experience, highly recommend!",positive
"This is brilliant, exceeded my expectations.",positive
The worst purchase I've ever made.,negative
"Fantastic experience, highly recommend!",positive
The worst purchase I've ever made.,negative
"This is brilliant, exceeded my expectations.",positive
It stopped working after two days.,negative
"This is brilliant, exceeded my expectations.",positive
"This is brilliant, exceeded my expectations.",positive
"Absolutely terrible, I want a refund.",negative
I'm so happy with this service!,positive
"Just average, nothing more.",neutral
"Absolutely terrible, I want a refund.",negative
"Completely useless, waste of money.",negative
"It's okay, not great but not bad.",neutral
I'm not sure how I feel about this.,neutral
I'm not sure how I feel about this.,neutral
"Absolutely terrible, I want a refund.",negative
"It's okay, not great but not bad.",neutral
I'm so happy with this service!,positive
I'm not sure how I feel about this.,neutral
The worst purchase I've ever made.,negative
"Meh, it works but nothing special.",neutral
The worst purchase I've ever made.,negative
"It's okay, not great but not bad.",neutral
I'm so happy with this service!,positive
It stopped working after two days.,negative
"This is brilliant, exceeded my expectations.",positive
"Fantastic experience, highly recommend!",positive
"Meh, it works but nothing special.",neutral
I'm not sure how I feel about this.,neutral
"Just average, nothing more.",neutral
"Meh, it works but nothing special.",neutral
"Completely useless, waste of money.",negative
"Just average, nothing more.",neutral
"It's okay, not great but not bad.",neutral
"Completely useless, waste of money.",negative
"It's okay, not great but not bad.",neutral
"Meh, it works but nothing special.",neutral
It stopped working after two days.,negative
"It's okay, not great but not bad.",neutral
It stopped working after two days.,negative
I'm so happy with this service!,positive
It stopped working after two days.,negative
"This is brilliant, exceeded my expectations.",positive
I love this product! It's amazing.,positive
"Absolutely terrible, I want a refund.",negative
"It's okay, not great but not bad.",neutral
"Meh, it works but nothing special.",neutral
I love this product! It's amazing.,positive
It stopped working after two days.,negative
It stopped working after two days.,negative
"It's okay, not great but not bad.",neutral
"Meh, it works but nothing special.",neutral
I'm so happy with this service!,positive
I love this product! It's amazing.,positive
It stopped working after two days.,negative
"It's okay, not great but not bad.",neutral
"Just average, nothing more.",neutral
"Just average, nothing more.",neutral
"It's okay, not great but not bad.",neutral
"Fantastic experience, highly recommend!",positive
The worst purchase I've ever made.,negative
"This is brilliant, exceeded my expectations.",positive
"Completely useless, waste of money.",negative
"This is brilliant, exceeded my expectations.",positive
"Fantastic experience, highly recommend!",positive
"Completely useless, waste of money.",negative
"Just average, nothing more.",neutral
"Completely useless, waste of money.",negative
"Meh, it works but nothing special.",neutral
"This is brilliant, exceeded my expectations.",positive
"Absolutely terrible, I want a refund.",negative
I'm not sure how I feel about this.,neutral
It stopped working after two days.,negative
"Fantastic experience, highly recommend!",positive
"Completely useless, waste of money.",negative
It stopped working after two days.,negative
It stopped working after two days.,negative
"This is brilliant, exceeded my expectations.",positive
I'm so happy with this service!,positive
"Meh, it works but nothing special.",neutral
"Just average, nothing more.",neutral
I'm so happy with this service!,positive
"Absolutely terrible, I want a refund.",negative
"Completely useless, waste of money.",negative
"Completely useless, waste of money.",negative
The worst purchase I've ever made.,negative
"Completely useless, waste of money.",negative
It stopped working after two days.,negative
It stopped working after two days.,negative
The worst purchase I've ever made.,negative
The worst purchase I've ever made.,negative
"Completely useless, waste of money.",negative
"Absolutely terrible, I want a refund.",negative
I love this product! It's amazing.,positive
I love this product! It's amazing.,positive
I love this product! It's amazing.,positive
I'm not sure how I feel about this.,neutral
"Meh, it works but nothing special.",neutral
"This is brilliant, exceeded my expectations.",positive
I'm not sure how I feel about this.,neutral
I love this product! It's amazing.,positive
"Completely useless, waste of money.",negative
"Absolutely terrible, I want a refund.",negative
I'm not sure how I feel about this.,neutral
It stopped working after two days.,negative
"It's okay, not great but not bad.",neutral
"It's okay, not great but not bad.",neutral
"Meh, it works but nothing special.",neutral
"Completely useless, waste of money.",negative
I'm not sure how I feel about this.,neutral
I love this product! It's amazing.,positive
"Completely useless, waste of money.",negative
"Absolutely terrible, I want a refund.",negative
I'm so happy with this service!,positive
It stopped working after two days.,negative
"It's okay, not great but not bad.",neutral
"This is brilliant, exceeded my expectations.",positive
"Fantastic experience, highly recommend!",positive
It stopped working after two days.,negative
"Absolutely terrible, I want a refund.",negative
"Meh, it works but nothing special.",neutral
I love this product! It's amazing.,positive
It stopped working after two days.,negative
"Completely useless, waste of money.",negative
"This is brilliant, exceeded my expectations.",positive
I'm so happy with this service!,positive
The worst purchase I've ever made.,negative
The worst purchase I've ever made.,negative
"Just average, nothing more.",neutral
"Completely useless, waste of money.",negative
"Completely useless, waste of money.",negative
It stopped working after two days.,negative
"Meh, it works but nothing special.",neutral
"It's okay, not great but not bad.",neutral
"Meh, it works but nothing special.",neutral
The worst purchase I've ever made.,negative
I'm not sure how I feel about this.,neutral
"It's okay, not great but not bad.",neutral
I'm so happy with this service!,positive
I'm so happy with this service!,positive
"Absolutely terrible, I want a refund.",negative
"It's okay, not great but not bad.",neutral
I'm so happy with this service!,positive
"Completely useless, waste of money.",negative
"This is brilliant, exceeded my expectations.",positive
"Meh, it works but nothing special.",neutral
"Meh, it works but nothing special.",neutral
"Fantastic experience, highly recommend!",positive
"It's okay, not great but not bad.",neutral
It stopped working after two days.,negative
I'm so happy with this service!,positive
I love this product! It's amazing.,positive
"Just average, nothing more.",neutral
"Fantastic experience, highly recommend!",positive
"It's okay, not great but not bad.",neutral
"Just average, nothing more.",neutral
The worst purchase I've ever made.,negative
I'm so happy with this service!,positive
"Just average, nothing more.",neutral
"Fantastic experience, highly recommend!",positive
I'm not sure how I feel about this.,neutral
"Absolutely terrible, I want a refund.",negative
"Just average, nothing more.",neutral
"Meh, it works but nothing special.",neutral
"Completely useless, waste of money.",negative
"Meh, it works but nothing special.",neutral
"It's okay, not great but not bad.",neutral
"It's okay, not great but not bad.",neutral
I'm not sure how I feel about this.,neutral
I love this product! It's amazing.,positive
The worst purchase I've ever made.,negative
"Completely useless, waste of money.",negative
"It's okay, not great but not bad.",neutral
"It's okay, not great but not bad.",neutral
"Completely useless, waste of money.",negative
"Absolutely terrible, I want a refund.",negative
The worst purchase I've ever made.,negative
The worst purchase I've ever made.,negative
It stopped working after two days.,negative
The worst purchase I've ever made.,negative
I'm so happy with this service!,positive
I'm not sure how I feel about this.,neutral
"Completely useless, waste of money.",negative
The worst purchase I've ever made.,negative
"Absolutely terrible, I want a refund.",negative
"Fantastic experience, highly recommend!",positive
I love this product! It's amazing.,positive
"Completely useless, waste of money.",negative
"Fantastic experience, highly recommend!",positive
"It's okay, not great but not bad.",neutral
I'm not sure how I feel about this.,neutral
It stopped working after two days.,negative
"Fantastic experience, highly recommend!",positive
I love this product! It's amazing.,positive
I love this product! It's amazing.,positive
"Meh, it works but nothing special.",neutral
I love this product! It's amazing.,positive
It stopped working after two days.,negative
"Completely useless, waste of money.",negative
"Absolutely terrible, I want a refund.",negative
"Absolutely terrible, I want a refund.",negative
I love this product! It's amazing.,positive
"Fantastic experience, highly recommend!",positive
I love this product! It's amazing.,positive
"Completely useless, waste of money.",negative
"Completely useless, waste of money.",negative
It stopped working after two days.,negative
"Just average, nothing more.",neutral
"Meh, it works but nothing special.",neutral
"Meh, it works but nothing special.",neutral
"Absolutely terrible, I want a refund.",negative
"Absolutely terrible, I want a refund.",negative
I love this product! It's amazing.,positive
